tahun,bulan,benua,region,nama_negara,nilai_impor
2005,"Januari","Amerika","Amerika Utara","Amerika Serikat",321979
2005,"Januari","Amerika","Amerika Utara","Kanada",59078
2005,"Januari","Amerika","Amerika Tengah dan Selatan","Argentina",6650
2005,"Januari","Amerika","Amerika Tengah dan Selatan","Brasil",56518
2005,"Januari","Amerika","Amerika Tengah dan Selatan","Meksiko",1427
2005,"Januari","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",9550
2005,"Januari","Eropa","Uni Eropa","Belanda",36269
2005,"Januari","Eropa","Uni Eropa","Belgia",28744
2005,"Januari","Eropa","Uni Eropa","Inggris",55800
2005,"Januari","Eropa","Uni Eropa","Italia",50970
2005,"Januari","Eropa","Uni Eropa","Jerman",158557
2005,"Januari","Eropa","Uni Eropa","Perancis",42352
2005,"Januari","Eropa","Uni Eropa","Spanyol",19938
2005,"Januari","Eropa","Uni Eropa","Uni Eropa lainnya ",99239
2005,"Januari","Eropa","Rusia","Rusia",54229
2005,"Januari","Eropa","Turki","Turki",4522
2005,"Januari","Eropa","Eropa Lainnya","Eropa lainnya",87682
2005,"Januari","Asia dan Timur Tengah","ASEAN","Brunei Darussalam",32572
2005,"Januari","Asia dan Timur Tengah","ASEAN","Filipina",31459
2005,"Januari","Asia dan Timur Tengah","ASEAN","Kamboja",197
2005,"Januari","Asia dan Timur Tengah","ASEAN","Laos",63
2005,"Januari","Asia dan Timur Tengah","ASEAN","Malaysia",224958
2005,"Januari","Asia dan Timur Tengah","ASEAN","Myanmar",2501
2005,"Januari","Asia dan Timur Tengah","ASEAN","Singapura",871451
2005,"Januari","Asia dan Timur Tengah","ASEAN","Thailand",333115
2005,"Januari","Asia dan Timur Tengah","ASEAN","Vietnam",65771
2005,"Januari","Asia dan Timur Tengah","Asia Timur","Hong Kong SAR",92872
2005,"Januari","Asia dan Timur Tengah","Asia Selatan","India",119941
2005,"Januari","Asia dan Timur Tengah","Timur Tengah","Irak",0
2005,"Januari","Asia dan Timur Tengah","Asia Timur","Jepang",700447
2005,"Januari","Asia dan Timur Tengah","Asia Timur","Korea Selatan",400514
2005,"Januari","Asia dan Timur Tengah","Asia Selatan","Pakistan",8306
2005,"Januari","Asia dan Timur Tengah","Asia Timur","Republik Rakyat Cina",482806
2005,"Januari","Asia dan Timur Tengah","Timur Tengah","Saudi Arabia",190576
2005,"Januari","Asia dan Timur Tengah","Asia Timur","Taiwan, Provinsi China",198657
2005,"Januari","Asia dan Timur Tengah","Asia dan Timur Tengah Lainnya","Asia dan Timur Tengah Lainnya",134881
2005,"Januari","Australia dan Oceania","Australia","Australia",220750
2005,"Januari","Australia dan Oceania","New Zealand","New Zealand",22918
2005,"Januari","Afrika","Afrika Selatan","Afrika Selatan",25470
2005,"Januari","Afrika","Afrika Lainnya","Afrika lainnya",135911
2005,"Januari","Keterangan Lainnya","Keterangan Lainnya","Impor yang tidak dapat diklasifikasikan  2)",45000
2005,"Januari","Keterangan Lainnya","Keterangan Lainnya","Asuransi dan ongkos pengangkutan",450617
2005,"Februari","Amerika","Amerika Utara","Amerika Serikat",301197
2005,"Februari","Amerika","Amerika Utara","Kanada",30638
2005,"Februari","Amerika","Amerika Tengah dan Selatan","Argentina",9107
2005,"Februari","Amerika","Amerika Tengah dan Selatan","Brasil",27123
2005,"Februari","Amerika","Amerika Tengah dan Selatan","Meksiko",881
